year,gdp_pc,edu_exp,water_acc,urban_pop,health_exp,life_exp,iso3,sfa_score,urban_water_idx,health_exp_growth,gdp_pc_lag1,health_exp_lag1,dea_score_lag1,sfa_score_lag1,dea_score
2006,1.2115756930898938,0.41157837678765397,0.721892084734899,0.6219590574983752,1.3148517990932667,0.979432358731702,WB_HI,-0.1562328967173723,0.7274948451945258,0.7350064796172644,1.1023101258295558,1.135665985521365,-0.3771335294976568,-0.04033635438969894,0.4867803650733082
2007,1.1446404629319948,0.6072191058679458,0.7003849863401304,1.0174430299131674,1.1027974094031758,1.017036547285248,WB_HI,0.1143846022336884,1.0773457959364021,-1.2998447694900896,1.2151905247816344,1.317940259762299,-0.5111894392279314,-0.11893891662978673,0.4599624724211082
2008,1.0328869283755722,0.2638016596387839,0.7080325700828194,0.6083195461450179,1.0405098229732104,1.0522490553345702,WB_HI,0.26169206308216486,0.7082982624611868,-0.48339712320978007,1.1518808893205985,1.1170735446353068,-0.6549845629584725,0.14152765257718913,0.5409568543177989
2009,1.056819512940807,0.3095900024651393,0.7110540930673277,0.47548316332439955,1.0232719037627587,1.1099795096039433,WB_HI,0.3384903809700179,0.5894639447580844,-0.24483809492739853,1.045907165681714,1.057861629693047,-0.23119812026425318,0.2833095739034678,0.5560594734895656
2010,1.1069362226839894,0.13153837098818139,0.7272298686239362,0.6240311887206392,1.1131726648094877,1.1527581311105006,WB_HI,0.2887536885213692,0.7320097296598511,0.287861494827561,1.0686310087178885,1.0414577570423988,-0.15552651082040458,0.35722716777175373,0.5762519277462721
2011,1.0758413559521018,0.2572449556987116,0.7102498945392495,0.538962331999688,1.0315503509039783,1.187340414607139,WB_HI,0.4155302290083018,0.646514433667957,-0.5882330540856981,1.1161651411943194,1.1269271029745742,-0.055901127008655536,0.30935611103663546,0.6090371203986901
2012,1.0660969313247795,0.20651134643681893,0.7154348493636561,0.47075993823611295,1.1595383524741574,1.214921090377471,WB_HI,0.37465085568150036,0.5872411429663768,0.46273534728168153,1.086680800346379,1.049336586949183,0.10220603508001463,0.43137723193440947,0.6142672181267483
2013,1.2020116240465428,0.4616304781217519,0.72435142151249865,0.6243906206929949,1.3968670690035347,1.248319043763493,WB_HI,0.2040520190827177,0.730918736235148,0.9140160760561906,1.077435585257705,1.1709288488651464,0.12702255619741235,0.3920312540762345,0.5537003018942602
2014,1.080724875723572,0.291403647662501,0.7100106616588595,0.5420034763793026,1.302117155508672,1.2944397625425241,WB_HI,0.3462985517433931,0.6491538196369784,-0.6426571412588309,1.2061519398375122,1.3953365810730483,-0.16728104884711634,0.2278316223014164,0.611942111969981
2015,1.0808160373631515,0.2820457356590152,0.7097483441823209,0.5152564570316724,1.2662385003532077,1.267056298306954,WB_HI,0.41165702933315323,0.6248178942991222,-0.3373818634427839,1.091313148588038,1.305908344978612,0.1160035999235495,0.3647424521159158,0.6002771569286512
2016,1.1266843603455658,0.327234074068762,0.7175715428017438,0.5038134254015008,1.3278686218315263,1.3065038023327584,WB_HI,0.4188180307831538,0.6181633050174906,0.14414371714667237,1.0913996152949879,1.27198852162129,0.06039337654639306,0.42764931694313996,0.5731082560744564
2017,1.087394876422247,0.324794684842093,0.7105339072256712,0.5424398964100654,1.3311117991022023,1.308061758169627,WB_HI,0.4583797503343259,0.6497996575222466,-0.13909198872127054,1.1348766352619983,1.3302347509781127,-0.07129675474396642,0.43454170744633186,0.5724734763054121
2018,1.0969254159218473,0.3788812316859794,0.7116857495105186,0.5181405175656612,1.3464006478153518,1.3291104480702907,WB_HI,0.49179302901228794,0.6283476598708972,-0.07976373775418644,1.0976390306839219,1.3332973240390162,-0.07441057302832098,0.4726194570499738,0.5498228614292086
