year,gdp_pc,edu_exp,water_acc,urban_pop,health_exp_pc,life_expectancy,iso3,dea_score,sfa_score
2000,16894.713458321603,4.903988558516713,95.3027397260274,41.9814254086647,730.608779657849,71.4463838672662,VGB,0.3699038045674237,0.9181907582831659
2000,100323.439918528,3.38460993766785,99.5610226883862,71.2246805488418,1884.51703482289,75.57466267333334,BRN,0.5137047669837527,0.8875039122105874
2000,12563.8880988668,4.345661234849846,99.7377221618343,68.2631454467773,373.482985791077,71.67140249,BGR,0.4581209515635358,0.9493976247548244
2000,1428.57400617096,3.059962628044525,55.6390919539438,18.0003503329444,36.0488555936062,51.85139188666667,BFA,0.7693369644556021,0.8124122938427953
2000,1033.47188177042,2.64547991752625,49.9050035081871,8.04381449833197,21.9135989825262,44.39844277,BDI,0.9441536725022449,0.7202451765212776
2000,4510.13573659758,4.0616342118894515,79.3677594529209,53.9332149202283,129.445942358841,71.48624847666667,CPV,0.7729649141436333,0.9825013154175338
2000,1922.03179092592,1.64869999885559,52.3082345073141,18.6242216655572,81.381385243683,59.019467256666665,KHM,1,0.8868636193926335
2000,3822.94425358926,1.70284998416901,55.8213658801787,46.2449829402599,90.5753110000534,52.96067843666667,CMR,0.7508930640748775,0.7796128717694035
2000,48399.3055389359,5.42330980300903,99.5548066941218,78.6292995508947,2405.67150004447,79.05252181,CAN,0.5623970125671128,0.9375713764369175
2000,48969.035965003946,4.029330677677557,98.75001562901745,100,2723.6087454800686,78.1076361971566,CYM,0.6174550203571613,0.9239529478100944
2000,1245.81399563599,1.61265003681183,59.0104891106011,37.7014879765364,26.519630650576,44.364181296666665,CAF,1,0.7117184203206973
2000,1506.71577205515,2.64670991897583,38.6325926482475,21.6527690760484,44.5173275694146,51.18149147333333,TCD,0.7871537441343825,0.7954485699052971
2000,17525.2717273479,3.75707006454468,96.3391511046989,86.2710912457813,656.310743569681,76.77398599333334,CHL,0.7696348334384264,0.9718989996079049
2000,4066.03627019859,4.08387323483902,80.5934883327843,36.4320234662299,130.187399053032,70.92018913666666,CHN,0.7713586218519798,0.9813200059967937
2000,10813.4942250011,3.5112099647522,90.9190300374548,74.3493570179247,378.434040849489,72.60157668333333,COL,0.5756235335304746,0.961589813733116
2000,2858.85692121457,3.625211947726633,87.3387610880315,28.0360512192055,132.286233715932,62.05696130333333,COM,0.5566689513360478,0.9015027225911036
2000,981.422080026496,2.910998793815876,37.5495370732434,34.9008752617485,6.10639341351946,52.65933486666667,COD,1,0.8879666101276651
