IndicatorCode,Id,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
WHOSIS_000001,3059823,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,2006,SEX_BTSX,NA,NA,NA,NA,NA,NA,73.3 [73.1-73.6],73.28900157,73.051325,73.63022375,NA,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
WHOSIS_000001,3059841,COUNTRY,SWE,YEAR,EUR,Europe,SEX,2014,SEX_BTSX,NA,NA,NA,NA,NA,NA,81.9 [81.9-82.0],81.92750078,81.919376690000007,82.00617821,NA,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
WHOSIS_000001,3060320,COUNTRY,CAF,YEAR,AFR,Africa,SEX,2015,SEX_MLE,NA,NA,NA,NA,NA,NA,48.9 [47.8-50.0],48.90307036,47.77676763,49.99923066,NA,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
WHOSIS_000001,3061986,COUNTRY,DZA,YEAR,AFR,Africa,SEX,2010,SEX_BTSX,NA,NA,NA,NA,NA,NA,75.3 [75.0-75.6],75.28662824,74.99761383,75.608462,NA,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
WHOSIS_000001,3062598,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,SEX,2013,SEX_BTSX,NA,NA,NA,NA,NA,NA,81.7 [81.6-81.9],81.73672815,81.62395932,81.88155099,NA,2024-08-02T09:43:39.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
WHOSIS_000001,3062806,COUNTRY,VEN,YEAR,AMR,Americas,SEX,2005,SEX_FMLE,NA,NA,NA,NA,NA,NA,78.5 [78.4-78.6],78.47938145,78.41335091,78.59024998,NA,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
WHOSIS_000001,3064049,COUNTRY,FSM,YEAR,WPR,Western Pacific,SEX,2012,SEX_MLE,NA,NA,NA,NA,NA,NA,62.4 [61.6-63.3],62.3584162,61.57073581,63.28744173,NA,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
WHOSIS_000001,3064650,COUNTRY,UGA,YEAR,AFR,Africa,SEX,2006,SEX_MLE,NA,NA,NA,NA,NA,NA,53.8 [53.1-54.6],53.78714652,53.07745744,54.61034549,NA,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
WHOSIS_000001,3066629,COUNTRY,ECU,YEAR,AMR,Americas,SEX,2020,SEX_FMLE,NA,NA,NA,NA,NA,NA,76.4 [76.0-76.8],76.36299311,76.0159422,76.8469359,NA,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
WHOSIS_000001,3066698,REGION,SEAR,YEAR,NA,NA,SEX,2006,SEX_MLE,NA,NA,NA,NA,NA,NA,65.1 [64.6-65.7],65.09350081,64.6040223,65.72024258,NA,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
