indicatorId,geoUnit,year,value,qualifier,magnitude
FOSGP.5T8.F110,BLR,2010,12.57019725949899,,
FOSGP.5T8.F110,BLR,2011,11.71663910131495,,
FOSGP.5T8.F110,BLR,2012,9.442346145301045,,
FOSGP.5T8.F110,BLR,2013,9.654163999301634,,
FOSGP.5T8.F110,BLR,2014,8.441163828241956,,
FOSGP.5T8.F110,BLR,2015,9.646329987452948,,
FOSGP.5T8.F110,BLR,2016,9.597975592832945,,
FOSGP.5T8.F110,BLR,2017,9.824432251050753,,
FOSGP.5T8.F110,BLR,2018,9.875797409626909,,
FOSGP.5T8.F110,BLR,2019,9.510248963825529,,
FOSGP.5T8.F110,BLR,2020,9.168400428222272,,
FOSGP.5T8.F110,BLR,2021,9.968234130083841,,
FOSGP.5T8.F110,BLR,2022,11.06881772011972,,
FOSGP.5T8.F110,BLR,2023,11.06357618713152,,
FOSGP.5T8.F110,BLR,2024,12.25010536867646,,
FOSGP.5T8.F110,BLZ,2014,10.5531914893617,,
FOSGP.5T8.F110,BLZ,2015,16.18599175985874,,
FOSGP.5T8.F110,BLZ,2020,12.10898082744702,,
FOSGP.5T8.F110,BLZ,2021,8.405501782985226,,
FOSGP.5T8.F110,BLZ,2022,10.73663938372653,,
FOSGP.5T8.F110,BLZ,2023,12.39426259654285,,
FOSGP.5T8.F110,BLZ,2024,13.20836965998256,,
FOSGP.5T8.F110,BMU,2001,0,,NIL
FOSGP.5T8.F110,BMU,2005,4.081630229949951,,
FOSGP.5T8.F110,BMU,2007,2.994009971618652,,
FOSGP.5T8.F110,BMU,2009,11.51078987121582,,
FOSGP.5T8.F110,BMU,2010,13.6842098236084,,
FOSGP.5T8.F110,BMU,2011,7.291669845581055,,
FOSGP.5T8.F110,BMU,2012,11.50442028045654,,
FOSGP.5T8.F110,BMU,2015,12.28069972991943,,
FOSGP.5T8.F110,BMU,2017,1.459849953651428,,
FOSGP.5T8.F110,BMU,2018,3.521130084991455,,
FOSGP.5T8.F110,BMU,2023,5.617980003356934,,
FOSGP.5T8.F110,BRA,2001,25.83959007263184,,
FOSGP.5T8.F110,BRA,2002,26.97036933898926,,
FOSGP.5T8.F110,BRA,2003,25.6638298034668,,
FOSGP.5T8.F110,BRA,2004,27.49514007568359,,
FOSGP.5T8.F110,BRA,2005,26.32052993774414,,
FOSGP.5T8.F110,BRA,2007,22.74650955200195,,
FOSGP.5T8.F110,BRA,2008,23.06842041015625,,
FOSGP.5T8.F110,BRA,2009,23.45432090759277,,
FOSGP.5T8.F110,BRA,2010,22.7625904083252,,
FOSGP.5T8.F110,BRA,2011,22.25164031982422,,
FOSGP.5T8.F110,BRA,2012,20.09890937805176,,
FOSGP.5T8.F110,BRA,2014,20.22151947021484,,
FOSGP.5T8.F110,BRA,2015,19.90121078491211,,
FOSGP.5T8.F110,BRA,2016,19.69936943054199,,
FOSGP.5T8.F110,BRA,2017,20.34559059143066,,
FOSGP.5T8.F110,BRA,2018,19.10631942749023,,
FOSGP.5T8.F110,BRA,2019,19.59132957458496,,
FOSGP.5T8.F110,BRA,2020,18.53630065917969,,
FOSGP.5T8.F110,BRA,2022,19.51405906677246,,
FOSGP.5T8.F110,BRA,2023,16.67359924316406,,
FOSGP.5T8.F110,BRB,2010,29.47414935925762,,
FOSGP.5T8.F110,BRB,2011,11.84596065299288,,
FOSGP.5T8.F110,BRN,2000,49.20914077758789,,
FOSGP.5T8.F110,BRN,2001,49.76787185668945,,
FOSGP.5T8.F110,BRN,2003,61.65702819824219,,
FOSGP.5T8.F110,BRN,2004,56.12392044067383,,
FOSGP.5T8.F110,BRN,2005,58.03414154052734,,
FOSGP.5T8.F110,BRN,2006,55.60720825195313,,
FOSGP.5T8.F110,BRN,2007,51.08493041992188,,
FOSGP.5T8.F110,BRN,2008,55.89377975463867,,
FOSGP.5T8.F110,BRN,2009,51.69340133666992,,
FOSGP.5T8.F110,BRN,2010,42.26866149902344,,
FOSGP.5T8.F110,BRN,2011,42.91230010986328,,
FOSGP.5T8.F110,BRN,2012,29.24188041687012,,
FOSGP.5T8.F110,BRN,2015,14.7398796081543,,
FOSGP.5T8.F110,BRN,2018,11.64521026611328,,
FOSGP.5T8.F110,BRN,2019,10.60890960693359,,
FOSGP.5T8.F110,BRN,2020,12.88224029541016,,
FOSGP.5T8.F110,BRN,2023,3.970160007476807,,
FOSGP.5T8.F110,BTN,2013,25.84407612031922,,
FOSGP.5T8.F110,BWA,2001,39.76063919067383,,
FOSGP.5T8.F110,BWA,2002,37.42177963256836,,
FOSGP.5T8.F110,BWA,2011,36.21418506341006,,
FOSGP.5T8.F110,BWA,2017,8.63512369485467,,
FOSGP.5T8.F110,BWA,2019,11.90974866717441,,
FOSGP.5T8.F110,BWA,2020,13.19581802769144,,
FOSGP.5T8.F110,BWA,2021,19.22535211267606,,
FOSGP.5T8.F110,BWA,2022,23.07277628032345,,
FOSGP.5T8.F110,BWA,2023,17.75153800357214,,
FOSGP.5T8.F110,BWA,2024,21.05111383461899,,
FOSGP.5T8.F110,CAN,2013,7.702579975128174,NAT_EST,
FOSGP.5T8.F110,CAN,2014,7.905739784240723,NAT_EST,
FOSGP.5T8.F110,CAN,2015,5.78003978729248,NAT_EST,
FOSGP.5T8.F110,CAN,2016,7.542510032653809,NAT_EST,
FOSGP.5T8.F110,CAN,2018,5.569690227508545,,
FOSGP.5T8.F110,CAN,2019,5.410739898681641,,
FOSGP.5T8.F110,CAN,2020,5.140039920806885,,
FOSGP.5T8.F110,CAN,2021,5.118619918823242,,
FOSGP.5T8.F110,CAN,2022,5.036870002746582,,
FOSGP.5T8.F110,CAN,2023,5.261990070343018,,
FOSGP.5T8.F110,CHE,2000,12.24763011932373,,
FOSGP.5T8.F110,CHE,2001,12.95291042327881,,
FOSGP.5T8.F110,CHE,2002,12.70213031768799,,
FOSGP.5T8.F110,CHE,2003,11.84897041320801,,
FOSGP.5T8.F110,CHE,2004,9.672550201416016,,
FOSGP.5T8.F110,CHE,2005,8.72152042388916,,
FOSGP.5T8.F110,CHE,2006,12.21595001220703,,
FOSGP.5T8.F110,CHE,2008,10.3847599029541,,
FOSGP.5T8.F110,CHE,2009,9.826860427856445,,
FOSGP.5T8.F110,CHE,2010,9.885250091552734,,
FOSGP.5T8.F110,CHE,2011,9.660659790039062,,
FOSGP.5T8.F110,CHE,2013,9.994020462036133,,
FOSGP.5T8.F110,CHE,2014,10.41516017913818,,
FOSGP.5T8.F110,CHE,2015,9.825010299682617,,
FOSGP.5T8.F110,CHE,2016,9.907520294189453,,
FOSGP.5T8.F110,CHE,2017,9.59570026397705,,
FOSGP.5T8.F110,CHE,2018,9.707380294799805,,
FOSGP.5T8.F110,CHE,2019,9.530679702758789,,
FOSGP.5T8.F110,CHE,2020,9.636139869689941,,
FOSGP.5T8.F110,CHE,2021,9.456069946289062,,
FOSGP.5T8.F110,CHE,2022,9.292840003967285,,
FOSGP.5T8.F110,CHE,2023,9.520359992980957,,
FOSGP.5T8.F110,CHL,2004,13.40272045135498,,
FOSGP.5T8.F110,CHL,2006,15.38597965240479,,
FOSGP.5T8.F110,CHL,2007,16.25992965698242,,
FOSGP.5T8.F110,CHL,2008,16.82423973083496,,
FOSGP.5T8.F110,CHL,2009,18.35376930236816,,
FOSGP.5T8.F110,CHL,2010,18.03652000427246,,
FOSGP.5T8.F110,CHL,2012,15.77812004089355,,
FOSGP.5T8.F110,CHL,2013,15.92129039764404,,
FOSGP.5T8.F110,CHL,2014,16.05690956115723,,
FOSGP.5T8.F110,CHL,2015,15.39626026153564,,
FOSGP.5T8.F110,CHL,2016,15.05373001098633,,
FOSGP.5T8.F110,CHL,2017,14.96041965484619,,
FOSGP.5T8.F110,CHL,2018,14.06919956207275,,
FOSGP.5T8.F110,CHL,2019,15.37543964385986,,
FOSGP.5T8.F110,CHL,2020,16.15275001525879,,
FOSGP.5T8.F110,CHL,2021,14.73268032073975,,
FOSGP.5T8.F110,CHL,2022,12.43997001647949,,
FOSGP.5T8.F110,CHL,2023,11.67267990112305,,
FOSGP.5T8.F110,CHL,2024,10.85918045043945,,
FOSGP.5T8.F110,CMR,2006,0.6645600199699402,,
FOSGP.5T8.F110,CMR,2008,7.620590209960938,,
FOSGP.5T8.F110,CMR,2010,10.27847347930667,,
FOSGP.5T8.F110,CMR,2015,15.97943737623091,,
FOSGP.5T8.F110,CMR,2019,7.198163628888585,,
FOSGP.5T8.F110,CMR,2020,1.348565126705186,,
FOSGP.5T8.F110,CMR,2021,2.702993754038337,,
FOSGP.5T8.F110,CMR,2022,4.499281551848008,,
FOSGP.5T8.F110,CMR,2023,4.500833309249251,,
FOSGP.5T8.F110,CMR,2024,2.268588665397072,,
FOSGP.5T8.F110,COD,2016,11.92932033538818,,
FOSGP.5T8.F110,COG,2017,1.65081000328064,,
FOSGP.5T8.F110,COK,2014,20,,
FOSGP.5T8.F110,COK,2015,29.26829268292683,,
FOSGP.5T8.F110,COK,2023,100,,
FOSGP.5T8.F110,COL,2002,17.31435966491699,,
FOSGP.5T8.F110,COL,2011,12.52194976806641,,
FOSGP.5T8.F110,COL,2012,11.68636989593506,,
FOSGP.5T8.F110,COL,2014,8.591879844665527,,
FOSGP.5T8.F110,COL,2015,8.507010459899902,,
FOSGP.5T8.F110,COL,2016,8.193249702453613,,
FOSGP.5T8.F110,COL,2017,7.950610160827637,,
FOSGP.5T8.F110,COL,2018,8.393309593200684,,
FOSGP.5T8.F110,COL,2019,8.526269912719727,,
FOSGP.5T8.F110,COL,2020,8.607250213623047,,
FOSGP.5T8.F110,COL,2021,8.388460159301758,,
FOSGP.5T8.F110,COL,2023,8.61458969116211,,
FOSGP.5T8.F110,COM,2000,75,,
FOSGP.5T8.F110,COM,2010,12.23776223776224,,
FOSGP.5T8.F110,COM,2011,7.785087719298247,,
FOSGP.5T8.F110,COM,2012,9.260642270351008,,
FOSGP.5T8.F110,COM,2014,20.61855670103093,,
FOSGP.5T8.F110,CPV,2016,19.3058568329718,,
FOSGP.5T8.F110,CPV,2017,18.27007943512798,,
FOSGP.5T8.F110,CPV,2018,12.6056338028169,,
FOSGP.5T8.F110,CRI,2001,32.49945831298828,,
FOSGP.5T8.F110,CRI,2002,34.45943069458008,,
FOSGP.5T8.F110,CRI,2007,32.72089004516602,,
FOSGP.5T8.F110,CRI,2010,28.43592071533203,,
FOSGP.5T8.F110,CRI,2011,26.1920108795166,,
FOSGP.5T8.F110,CRI,2015,23.07847023010254,,
FOSGP.5T8.F110,CRI,2016,21.25029945373535,,
FOSGP.5T8.F110,CRI,2017,21.73280906677246,,
FOSGP.5T8.F110,CRI,2018,22.40543937683105,,
FOSGP.5T8.F110,CRI,2019,21.70149993896484,,
FOSGP.5T8.F110,CRI,2020,24.09267044067383,,
FOSGP.5T8.F110,CRI,2021,26.5445499420166,,
FOSGP.5T8.F110,CRI,2022,26.12516021728516,,
FOSGP.5T8.F110,CRI,2023,24.89043998718262,,
FOSGP.5T8.F110,CUB,2002,33.18059158325195,,
FOSGP.5T8.F110,CUB,2012,28.25193598347961,,
FOSGP.5T8.F110,CUB,2013,23.62800189060026,,
FOSGP.5T8.F110,CUB,2014,19.25104232949959,,
FOSGP.5T8.F110,CUB,2015,10.80711679482761,,
FOSGP.5T8.F110,CUB,2016,4.652521874644893,,
FOSGP.5T8.F110,CUB,2019,20.74241873627534,,
FOSGP.5T8.F110,CUB,2020,11.55471336469768,,
FOSGP.5T8.F110,CUB,2021,22.96259634734355,,
FOSGP.5T8.F110,CUB,2023,16.20772770433131,,
FOSGP.5T8.F110,CUB,2024,25.23887676488259,,
FOSGP.5T8.F110,CUW,2013,22.88557213930348,,
FOSGP.5T8.F110,CYM,2007,0,,NIL
FOSGP.5T8.F110,CYM,2008,0,,NIL
FOSGP.5T8.F110,CYP,2002,15.18140029907227,,
FOSGP.5T8.F110,CYP,2003,12.70096015930176,,
FOSGP.5T8.F110,CYP,2006,11.197509765625,,
FOSGP.5T8.F110,CYP,2007,10.46119022369385,,
FOSGP.5T8.F110,CYP,2008,11.46648025512695,,
FOSGP.5T8.F110,CYP,2009,11.41088008880615,,
FOSGP.5T8.F110,CYP,2010,10.70650959014893,,
FOSGP.5T8.F110,CYP,2011,10.90878009796143,,
FOSGP.5T8.F110,CYP,2012,11.59889984130859,,
