population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2009,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2009,747.2087463949061,752.4132402286481,742.368174633238
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,51792231.87295196,52251680.261352114,51375276.19985886
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2011,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2011,734.5238435689531,741.0397974864653,728.6105265999242
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2010,51849869.954864286,52192768.80643676,51502897.17700112
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2010,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2010,744.6257069952311,749.5501417142045,739.6427658567212
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2012,52041182.97219504,52414145.28917254,51596098.167790666
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2012,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2012,728.9014561165714,734.1252569680373,722.6674901784969
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2013,52338687.01328106,52670325.276757576,52011095.90049026
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2013,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2013,723.8680305760444,728.4547397647084,719.3372953363564
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2014,52761768.229423426,53124239.7094406,52354324.16271565
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2014,1.0,1.0,1.0
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,3,Taux,2014,720.64684276144,725.5976610609631,715.0817661893643
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,1,#,2016,54619439.58377523,55030941.116439,54253765.92626991
1,Toute la population,1,Décès,1,Global,3,Les deux,22,Tout age,294,Toutes causes,2,%,2016,1.0,1.0,1.0
